Country,Sport,Year,Athletes,Gold,Silver,Bronze,Total_Medals,Events_Participated,GDP_Index,Population_Millions,Prev_Medals,Host,Medal_per_Athlete,Gold_Ratio,Participation_Rate,Medals_per_Million
Lithuania,Rowing,2008,49.0,3.0,2.0,4.0,,20.0,0.279,763.25,10.0,0,,,2.45,
Kenya,Gymnastics,2024,28.0,,1.0,3.0,,12.0,,1280.07,,0,,,2.3333,
Cuba,Boxing,2024,53.0,1.0,0.0,0.0,1.0,6.0,0.166,,0.0,0,0.0189,1.0,8.8333,
Qatar,Judo,2024,41.0,3.0,1.0,2.0,6.0,41.0,0.624,47.91,6.0,0,0.1463,0.5,1.0,0.1252
Bangladesh,Weightlifting,2024,56.0,0.0,0.0,1.0,1.0,37.0,0.248,1336.87,0.0,0,0.0179,0.0,1.5135,0.0007
Kenya,Rowing,1992,,2.0,2.0,2.0,6.0,6.0,0.799,840.32,5.0,0,,0.3333,,0.0071
Senegal,Weightlifting,2020,9.0,3.0,4.0,1.0,,,0.333,,6.0,0,,,,
Senegal,Swimming,2004,,0.0,0.0,0.0,0.0,49.0,0.841,,2.0,0,,0.0,,
USA,Shooting,2012,11.0,1.0,2.0,0.0,3.0,6.0,0.713,182.73,1.0,0,0.2727,0.3333,1.8333,0.0164
Azerbaijan,Gymnastics,2004,1.0,1.0,1.0,0.0,2.0,29.0,0.519,1241.65,0.0,0,2.0,0.5,0.0345,0.0016
Austria,Boxing,2024,1.0,0.0,0.0,,0.0,23.0,0.141,406.75,1.0,0,0.0,0.0,0.0435,0.0
Serbia,Judo,2012,11.0,1.0,1.0,0.0,2.0,6.0,0.796,516.15,1.0,0,0.1818,0.5,1.8333,0.0039
Netherlands,Shooting,2000,44.0,0.0,0.0,0.0,0.0,30.0,0.78,1016.54,1.0,0,0.0,0.0,1.4667,0.0
Malaysia,Rowing,2016,52.0,4.0,1.0,4.0,9.0,19.0,0.596,1078.81,6.0,0,0.1731,0.4444,2.7368,0.0083
Switzerland,Wrestling,2012,9.0,4.0,2.0,4.0,10.0,43.0,0.427,985.32,8.0,0,1.1111,0.4,0.2093,0.0101
Colombia,Judo,1996,2.0,0.0,0.0,,0.0,12.0,0.289,155.08,0.0,0,0.0,0.0,0.1667,0.0
USA,Rowing,1996,5.0,,3.0,3.0,9.0,42.0,0.62,520.96,7.0,1,1.8,,0.119,0.0173
Qatar,Boxing,2000,11.0,1.0,3.0,4.0,8.0,26.0,0.357,520.75,8.0,0,0.7273,0.125,0.4231,0.0154
UK,Athletics,1992,42.0,4.0,2.0,3.0,9.0,13.0,0.123,1079.78,9.0,0,0.2143,0.4444,3.2308,0.0083
Romania,Judo,2004.0,55.0,0.0,0.0,2.0,2.0,46.0,0.151,783.58,3.0,0,0.0364,0.0,1.1957,0.0026
Czech Republic,Athletics,1992,42.0,0.0,1.0,1.0,2.0,8.0,0.541,701.39,2.0,0,0.0476,0.0,5.25,0.0029
Rwanda,Wrestling,1996,15.0,2.0,1.0,,5.0,35.0,0.746,1371.99,2.0,0,0.3333,0.4,0.4286,0.0036
Argentina,Athletics,2024,,1.0,0.0,0.0,1.0,29.0,0.381,433.89,0.0,0,,1.0,,0.0023
Rwanda,Weightlifting,1992,9.0,5.0,5.0,2.0,12.0,21.0,0.47,719.22,11.0,0,1.3333,0.4167,0.4286,0.0167
Colombia,Wrestling,2008,32.0,4.0,4.0,4.0,12.0,19.0,0.229,461.79,13.0,0,0.375,0.3333,1.6842,0.026
Australia,Rowing,2000,34.0,0.0,2.0,0.0,2.0,32.0,0.116,536.52,0.0,1,0.0588,0.0,1.0625,0.0037
Kazakhstan,Boxing,2012,7.0,2.0,2.0,1.0,5.0,43.0,0.214,731.62,6.0,0,0.7143,0.4,0.1628,0.0068
Georgia,Cycling,1996,18.0,2.0,2.0,3.0,7.0,48.0,0.36,328.79,9.0,0,0.3889,0.2857,0.375,0.0213
Qatar,Judo,2020,46.0,2.0,0.0,1.0,,14.0,0.224,711.06,3.0,0,,,3.2857,
Armenia,Gymnastics,1996,36.0,,0.0,2.0,3.0,25.0,0.993,1054.57,0.0,0,0.0833,,1.44,0.0028
Cambodia,Shooting,2004,25.0,2.0,3.0,5.0,10.0,38.0,0.138,559.33,12.0,0,0.4,0.2,0.6579,0.0179
Jamaica,Judo,2020,2.0,2.0,3.0,,7.0,,0.511,849.51,5.0,0,3.5,0.2857,,0.0082
U.K.,Shooting,2024,19.0,4.0,0.0,2.0,6.0,28.0,0.398,694.32,3.0,0,0.3158,0.6667,0.6786,0.0086
Azerbaijan,Cycling,2000,22.0,4.0,5.0,3.0,12.0,4.0,,41.84,12.0,0,0.5455,0.3333,5.5,0.2868
Switzerland,Rowing,2004,41.0,4.0,2.0,4.0,10.0,45.0,0.249,909.22,11.0,0,0.2439,0.4,0.9111,0.011
Serbia,Swimming,2004,52.0,1.0,1.0,2.0,4.0,38.0,0.742,1249.04,2.0,0,0.0769,0.25,1.3684,0.0032
Mexico,Judo,2024,45.0,3.0,,1.0,4.0,,0.808,510.94,5.0,0,0.0889,0.75,,0.0078
Netherlands,Cycling,1996,53.0,1.0,0.0,1.0,2.0,30.0,0.496,946.08,0.0,0,0.0377,0.5,1.7667,0.0021
Costa Rica,Rowing,2000,20.0,1.0,0.0,0.0,1.0,23.0,,888.43,0.0,0,0.05,1.0,0.8696,0.0011
Canada,Rowing,2008,40.0,2.0,3.0,3.0,8.0,23.0,0.944,1141.82,10.0,0,0.2,0.25,1.7391,0.007
Japan,Cycling,2004,13.0,0.0,1.0,0.0,1.0,,0.399,,1.0,0,0.0769,0.0,,
Uzbekistan,Athletics,2020,12.0,0.0,0.0,0.0,0.0,37.0,0.858,725.08,0.0,0,0.0,0.0,0.3243,0.0
Lebanon,Cycling,2000,16.0,3.0,2.0,3.0,8.0,26.0,0.663,693.81,10.0,0,0.5,0.375,0.6154,0.0115
Italy,Swimming,2004,14.0,2.0,,1.0,4.0,28.0,0.11,437.67,1.0,0,0.2857,0.5,0.5,0.0091
Portugal,Swimming,2004,34.0,2.0,4.0,1.0,7.0,32.0,,207.82,6.0,0,0.2059,0.2857,1.0625,0.0337
Armenia,Boxing,2004,27.0,4.0,2.0,1.0,7.0,19.0,0.875,1264.07,4.0,0,0.2593,0.5714,1.4211,0.0055
Netherlands,Shooting,2012,49.0,0.0,0.0,0.0,0.0,39.0,0.348,1202.53,0.0,0,0.0,0.0,1.2564,0.0
Australia,Judo,2016,16.0,2.0,4.0,,8.0,26.0,0.378,137.97,7.0,0,0.5,0.25,0.6154,0.058
Kazakhstan,Gymnastics,1996,19.0,1.0,,4.0,7.0,28.0,0.297,583.7,9.0,0,0.3684,0.1429,0.6786,0.012
France,Athletics,1992,10.0,3.0,,,6.0,31.0,0.664,932.38,3.0,0,0.6,0.5,0.3226,0.0064
Cambodia,Swimming,2024,2.0,5.0,2.0,4.0,11.0,8.0,0.991,,10.0,0,5.5,0.4545,0.25,
Qatar,Boxing,2004,15.0,3.0,2.0,2.0,7.0,44.0,0.376,315.87,6.0,0,0.4667,0.4286,0.3409,0.0222
Fiji,Cycling,2008,5.0,2.0,1.0,1.0,4.0,43.0,0.419,65.4,6.0,0,0.8,0.5,0.1163,0.0612
Bulgaria,Rowing,2012,19.0,3.0,,3.0,7.0,22.0,0.719,1012.07,9.0,0,0.3684,0.4286,0.8636,0.0069
Chile,Gymnastics,2000,,3.0,3.0,4.0,10.0,26.0,0.595,1243.06,11.0,0,,0.3,,0.008
Cambodia,Athletics,2020,12.0,3.0,1.0,0.0,4.0,45.0,0.214,4.02,,0,0.3333,0.75,0.2667,0.995
Croatia,Wrestling,2016,5.0,2.0,2.0,2.0,6.0,18.0,0.52,280.87,6.0,0,1.2,0.3333,0.2778,0.0214
